Statement,Header,Field Name,Field Value
Statement,Data,Title,Transaction History
Statement,Data,Period,"November 6, 2020 - May 27, 2026"
Statement,Data,WhenGenerated,"2026-05-28, 11:21:40 EDT"
Summary,Header,Field Name,Field Value
Summary,Data,Base Currency,SGD
Summary,Data,Starting Cash,0.0
Summary,Data,Change,4182.24456925
Summary,Data,Ending Cash,4182.24456925
Transaction History,Header,Date,Account,Description,Transaction Type,Symbol,Quantity,Price,Price Currency,Gross Amount ,Commission,Net Amount,Exchange Rate,Transaction Fees,Multiplier
Transaction History,Data,2026-05-07,U***7895,TESLA INC,Buy,TSLA,3.4193,409.439878,USD,-1776.597176278305,-0.445357285992,-1777.082615716077,1.269,-0.04008215178,1.0
Transaction History,Data,2026-04-07,U***7895,TESLA INC,Buy,TSLA,3.2078,342.91,USD,-1410.2929455058,-0.449887364301,-1410.7833227291699,1.2821,-0.040489859069,1.0
Transaction History,Data,2026-03-09,U***7895,TESLA INC,Buy,TSLA,2.8337,388.181786,USD,-1402.0481806189048,-0.44716025765399997,-1402.5355853008948,1.2746,-0.04024442433599999,1.0
Transaction History,Data,2026-02-09,U***7895,TESLA INC,Buy,TSLA,2.4012,416.44389,USD,-1265.2558013856205,-0.443788146097,-1265.7395304596785,1.2653,-0.03994092796100001,1.0
Transaction History,Data,2026-01-07,U***7895,TESLA INC,Buy,TSLA,3.4426,435.707544,USD,-1923.5574127450577,-0.450052855448,-1924.0479703583937,1.2824,-0.040504757888,1.0
Transaction History,Data,2025-12-08,U***7895,TESLA INC,Buy,TSLA,2.268,440.911974,USD,-1297.48489324902,-0.4550473278750001,-1297.980894840945,1.2975,-0.04095426405,1.0
Transaction History,Data,2025-11-10,U***7895,TESLA INC,Buy,TSLA,2.1426,443.367576,USD,-1237.6070650707463,-0.45693483123959994,-1238.1051240346737,1.3028,-0.041124132688,1.0
Transaction History,Data,2025-10-08,U***7895,TESLA INC,Buy,TSLA,2.5256,435.538589,USD,-1424.9351556936613,-0.45444955040820006,-1425.4305056984633,1.2954,-0.04090045439400001,1.0
Transaction History,Data,2025-09-08,U***7895,TESLA INC,Buy,TSLA,3.1449,349.764009,USD,-1411.5951351824033,-0.4504012665286001,-1412.086072559352,1.2833,-0.04053611042000001,1.0
Transaction History,Data,2025-08-08,U***7895,TESLA INC,Buy,TSLA,3.3348,329.852233,USD,-1413.9287226819233,-0.45119371695000005,-1414.4205238301852,1.2854,-0.040607431312,1.0
Transaction History,Data,2025-07-09,U***7895,TESLA INC,Buy,TSLA,1.0,297.57,USD,-380.97887099999997,-0.45063903377500003,-381.470067543614,1.2803,-0.040557509839,1.0
Transaction History,Data,2025-07-09,U***7895,TESLA INC,Buy,TSLA,0.5,297.56,USD,-190.483034,-1.4531405E-4,-190.483192398716,1.2803,-1.3084666E-5,1.0
Transaction History,Data,2025-07-02,U***7895,TESLA INC,Buy,TSLA,2.0,312.4,USD,-795.3079199999999,-0.450226321125,-795.7986666868438,1.2729,-0.040520365718999994,1.0
Transaction History,Data,2025-06-09,U***7895,TESLA INC,Buy,TSLA,2.0215,296.8,USD,-771.6958194399999,-0.45114048806179996,-772.1875625739038,1.2862,-0.040602645842,1.0
Transaction History,Data,2025-05-08,U***7895,TESLA INC,Buy,TSLA,1.5765,285.43373,USD,-585.3871455963105,-0.4561541702620999,-585.8843536468266,1.3009,-0.041053880253999996,1.0
Transaction History,Data,2025-04-08,U***7895,TESLA INC,Buy,TSLA,1.8392,240.309812,USD,-598.261158512928,-0.47472064044479995,-598.7786040078048,1.3536,-0.042724854432,1.0
Transaction History,Data,2025-03-10,U***7895,TESLA INC,Buy,TSLA,1.851,238.786752,USD,-589.7087656435584,-0.4679207455832,-590.2187992513876,1.3342,-0.042112862246000006,1.0
Transaction History,Data,2025-02-10,U***7895,TESLA INC,Buy,TSLA,1.2374,357.182564,USD,-599.0123831717782,-0.475116204245,-599.5302598364382,1.3553,-0.04276046041499999,1.0
Transaction History,Data,2025-01-10,U***7895,TESLA INC,Buy,TSLA,2.0,388.86,USD,-1066.720752,-0.4752967761,-1067.2388254825198,1.3716,-0.04277670642,1.0
Transaction History,Data,2025-01-10,U***7895,TESLA INC,Buy,TSLA,1.1166,392.247287,USD,-600.7379226227424,-0.48078960067439996,-601.2619832819088,1.3716,-0.043271058492,1.0
Transaction History,Data,2024-12-10,U***7895,TESLA INC,Buy,TSLA,1.1356,400.655349,USD,-610.5433172013757,-0.47042469387270003,-611.0560801150533,1.3419,-0.04233821980500001,1.0
Transaction History,Data,2024-11-08,U***7895,TESLA INC,Buy,TSLA,1.4657,310.431562,USD,-603.465890463025,-0.465074946696,-603.9728221512099,1.3263,-0.041856741489,1.0
Transaction History,Data,2024-10-09,U***7895,TESLA INC,Buy,TSLA,1.8598,244.65,USD,-594.821591511,-0.45855262154679993,-595.3214138679108,1.3073,-0.041269735364,1.0
Transaction History,Data,2024-09-09,U***7895,TESLA INC,Buy,TSLA,2.0954,217.14081,USD,-594.1348910051893,-0.45805543298780005,-594.6341714321211,1.3058,-0.041224993944,1.0
Transaction History,Data,2024-02-05,U***7895,TESLA INC,Buy,TSLA,1.0,180.0,USD,-242.49599999999998,-0.46930688719999997,-243.00754450367998,1.3472,-0.042237616480000004,1.0
Transaction History,Data,2024-01-29,U***7895,TESLA INC,Buy,TSLA,1.0,187.8775,USD,-251.73706225,-0.46957766927500005,-252.24890190616003,1.3399,-0.042261986885,1.0
Transaction History,Data,2023-11-01,U***7895,TESLA INC,Buy,TSLA,3.0,204.03,USD,-837.400329,-0.48616425372500005,-837.9246358817251,1.3681,-0.038142628,1.0
Transaction History,Data,2023-04-24,U***7895,TESLA INC,Buy,TSLA,10.0,164.64,USD,-2195.4744,-0.48973754287499993,-2196.000942142875,1.3335,-0.0368046,1.0
Transaction History,Data,2023-03-20,U***7895,TESLA INC,Buy,TSLA,4.0,184.89,USD,-988.6438079999999,-0.4692933318,-989.1503178437999,1.3368,-0.037216512,1.0
Transaction History,Data,2023-02-08,U***7895,TESLA INC,Sell,TSLA,-8.0,200.0,USD,2121.76,-1.3762265800000002,2120.278109772,1.3261,-0.105663648,1.0
Transaction History,Data,2023-02-06,U***7895,TESLA INC,Sell,TSLA,-8.0,193.0,USD,2050.1232,-1.3762880692800001,2048.64111282672,1.3278,-0.105799104,1.0
Transaction History,Data,2022-12-29,U***7895,TESLA INC,Sell,TSLA,-10.0,119.58,USD,1606.43772,-1.3819338437879998,1604.962218346212,1.3434,-0.09356781,1.0
Transaction History,Data,2022-12-28,U***7895,TESLA INC,Sell,TSLA,-10.0,111.71,USD,1507.86158,-1.386084770182,1506.3814816598183,1.3498,-0.09401357000000002,1.0
Transaction History,Data,2022-11-10,U***7895,TESLA INC,Buy,TSLA,5.0,189.83,USD,-1311.820215,-1.3821,-1313.2988201325002,1.3821,-0.09650513250000001,1.0
Transaction History,Data,2022-11-09,U***7895,TESLA INC,Buy,TSLA,3.0,187.5,USD,-789.075,-1.4028,-790.575848706,1.4028,-0.098048706,1.0
Transaction History,Data,2022-11-01,U***7895,TESLA INC,Sell,TSLA,-6.0,228.34,USD,1938.880608,-1.4607042219232,1937.3211369700769,1.4152,-0.09876680800000001,1.0
