trade_date,side,qty_adjusted,price_adjusted_usd,net_amount_usd
2020-09-12,BUY,3,201.43,-10.70
2020-11-19,BUY,15,165.00,-10.70
2020-11-30,BUY,54,195.00,-28.17
2021-02-03,BUY,3,231.00,-10.70
2021-03-26,BUY,1.65,211.69,-469.58
2021-03-26,BUY,3,211.67,-854.33
2021-05-14,BUY,0.72,195.55,-187.93
2021-11-10,BUY,3,336.68,-1368.12
2021-12-21,BUY,6,300.66,-2462.39
2021-12-21,BUY,0.66,300.66,-267.39
2022-01-21,BUY,3,320.89,-1291.10
2022-01-21,BUY,9,320.80,-3882.67
2022-01-24,BUY,6,301.67,-2437.16
2022-01-24,BUY,3,293.88,-1187.85
2022-02-01,BUY,6,307.80,-2491.48
2022-03-14,SELL,-9,261.58,3216.78
2022-05-16,BUY,9,242.63,-3040.28
2022-05-17,BUY,9,248.96,-3103.16
2022-05-19,BUY,9,235.67,-2930.79
2022-05-31,SELL,-9,255.22,3145.74
2022-06-21,SELL,-9,240.24,2994.81
2022-07-08,SELL,-9,251.76,3164.94
2022-09-28,BUY,5,287.91,-2066.57
2022-09-29,BUY,5,267.85,-1920.28
2022-10-03,BUY,3,246.72,-1060.70
2022-10-17,BUY,3,218.25,-932.05
2022-10-19,BUY,3,221.30,-947.72
2022-10-21,BUY,3,206.31,-877.42
2022-10-28,SELL,-3,225.00,950.62
2022-11-01,SELL,-6,228.34,1937.32
2022-11-09,BUY,3,187.50,-790.58
2022-11-10,BUY,5,189.83,-1313.30
2022-12-28,SELL,-10,111.71,1506.38
2022-12-29,SELL,-10,119.58,1604.96
2023-02-06,SELL,-8,193.00,2048.64
2023-02-08,SELL,-8,200.00,2120.28
2023-03-20,BUY,4,184.89,-989.15
2023-04-24,BUY,10,164.64,-2196.00
2023-11-01,BUY,3,204.03,-837.92
2024-01-29,BUY,1,187.8775,-252.25
2024-02-05,BUY,1,180.00,-243.01
2024-09-09,BUY,2.1,217.1408,-594.63
2024-10-09,BUY,1.86,244.65,-595.32
2024-11-08,BUY,1.47,310.4316,-603.97
2024-12-10,BUY,1.14,400.6553,-611.06
2025-01-10,BUY,2,388.86,-1067.24
2025-01-10,BUY,1.12,392.2473,-601.26
2025-02-10,BUY,1.24,357.1826,-599.53
2025-03-10,BUY,1.85,238.7868,-590.22
2025-04-08,BUY,1.84,240.3098,-598.78
2025-05-08,BUY,1.58,285.4337,-585.88
2025-06-09,BUY,2.02,296.8,-772.19
2025-07-02,BUY,2,312.4,-795.80
2025-07-09,BUY,1,297.57,-381.47
2025-07-09,BUY,0.5,297.56,-190.48
2025-08-08,BUY,3.33,329.8522,-1414.42
2025-09-08,BUY,3.14,349.764,-1412.09
2025-10-08,BUY,2.53,435.5386,-1425.43
2025-11-10,BUY,2.14,443.3676,-1238.11
